"Country" "Region" "Year" "Population" "LifeExpectancy" "HealthExpenditure"
"Germany" "Europe & Central Asia" 1995 81678051 76.42195122 31.24275511
"Ghana" "Sub-Saharan Africa" 1995 16996901 57.99292683 0.1996894909
"Greece" "Europe & Central Asia" 1995 10634385 77.58536585 10.63911422
"Grenada" "Latin America & Caribbean" 1995 100163 71.68536585 1.905235207
"Guatemala" "Latin America & Caribbean" 1995 10015675 64.98639024 0.537335983
"Guinea" "Sub-Saharan Africa" 1995 7565235 45.65185366 0.270584614
"Guinea-Bissau" "Sub-Saharan Africa" 1995 1125392 43.67529268 0.2550951017
"Guyana" "Latin America & Caribbean" 1995 727979 62.2924878 0.4326337355
"Haiti" "Latin America & Caribbean" 1995 7877569 57.14607317 0.2259973072
"Honduras" "Latin America & Caribbean" 1995 5575099 68.607 0.3791905487
"Hungary" "Europe & Central Asia" 1995 10328965 69.79170732 3.232269577
"Iceland" "Europe & Central Asia" 1995 267468 77.98439024 22.13016501
"India" "South Asia" 1995 964486155 59.83156098 0.1573572481
"Indonesia" "East Asia & Pacific" 1995 199400339 63.97770732 0.198062839
"Iran, Islamic Rep." "Middle East & North Africa" 1995 59757114 68.15446341 0.6823097353
"Ireland" "Europe & Central Asia" 1995 3608841 75.57085366 12.37505598
"Israel" "Middle East & North Africa" 1995 5545000 77.45121951 13.24920705
"Italy" "Europe & Central Asia" 1995 56844303 78.01439024 14.37511637
"Jamaica" "Latin America & Caribbean" 1995 2480000 70.26346341 0.9662362412
"Jordan" "Middle East & North Africa" 1995 4195000 71.4124878 1.271383081
"Kazakhstan" "Europe & Central Asia" 1995 15815626.38 64.9195122 0.4824822076
"Kenya" "Sub-Saharan Africa" 1995 27425720 56.14921951 0.1403375221
"Korea, Rep." "East Asia & Pacific" 1995 45093000 73.39439024 4.41894088
"Kuwait" "Middle East & North Africa" 1995 1627911 73.29421951 6.281961821
"Kyrgyz Republic" "Europe & Central Asia" 1995 4560400 65.7902439 0.2232242556
"Lao PDR" "East Asia & Pacific" 1995 4795112 58.18214634 0.1525084643
"Latvia" "Europe & Central Asia" 1995 2485056 66.39121951 1.153385002
"Lebanon" "Middle East & North Africa" 1995 3462974 69.84007317 3.609360079
"Lesotho" "Sub-Saharan Africa" 1995 1794531 56.93787805 0.3662989499
"Liberia" "Sub-Saharan Africa" 1995 2094591 42.247 0
"Libya" "Middle East & North Africa" 1995 4775009 70.65312195 1.870684146
"Lithuania" "Europe & Central Asia" 1995 3629102 69.00634146 0.9968036152
"Luxembourg" "Europe & Central Asia" 1995 408625 76.51219512 28.15880294
"Macedonia, FYR" "Europe & Central Asia" 1995 1963484 72.0875122 2.007193262
"Madagascar" "Sub-Saharan Africa" 1995 13129227 54.85473171 0.06736196001
"Malawi" "Sub-Saharan Africa" 1995 9883350 46.64268293 0.07134838273
"Malaysia" "East Asia & Pacific" 1995 20720810 71.16343902 1.240931647
"Maldives" "South Asia" 1995 248712 65.25373171 0.9072809102
"Mali" "Sub-Saharan Africa" 1995 9824510 45.6975122 0.1441308033
"Mauritania" "Sub-Saharan Africa" 1995 2292053 56.65270732 0.2944986431
"Mauritius" "Sub-Saharan Africa" 1995 1122457 70.32585366 1.285976076
"Mexico" "Latin America & Caribbean" 1995 92272749 72.73763415 1.772120845
"Micronesia, Fed. Sts." "East Asia & Pacific" 1995 107233 66.7597561 1.89069848
"Moldova" "Europe & Central Asia" 1995 3675099 66.71587805 0.3002743236
"Mongolia" "East Asia & Pacific" 1995 2306131 61.26156098 0.1983732627
"Montenegro" "Europe & Central Asia" 1995 643227 75.80412195 1.342495574
"Morocco" "Middle East & North Africa" 1995 26928600 66.61331707 0.4787337522
"Mozambique" "Sub-Saharan Africa" 1995 15933452 45.41095122 0.07621471708
"Myanmar" "East Asia & Pacific" 1995 42133199 60.07834146 0.02559207131
"Namibia" "Sub-Saharan Africa" 1995 1651352 60.36073171 1.313904283
"Nepal" "South Asia" 1995 21594872 57.46863415 0.103941506
"Netherlands" "Europe & Central Asia" 1995 15459006 77.40463415 22.56667297
"New Zealand" "East Asia & Pacific" 1995 3673400 76.73414634 11.88858081
"Nicaragua" "Latin America & Caribbean" 1995 4637040 67.30419512 0.5776637932
"Niger" "Sub-Saharan Africa" 1995 9178575 44.4775122 0.07027463053
"Nigeria" "Sub-Saharan Africa" 1995 110014688 45.11570732 0.3762323656
"Norway" "Europe & Central Asia" 1995 4359184 77.73658537 31.22078999
"Oman" "Middle East & North Africa" 1995 2232018 73.04302439 2.228874855
"Pakistan" "South Asia" 1995 127346713 62.04573171 0.1516170985
"Panama" "Latin America & Caribbean" 1995 2676926 73.28321951 2.280227395
"Papua New Guinea" "East Asia & Pacific" 1995 4715617 57.35195122 0.3595514202
"Paraguay" "Latin America & Caribbean" 1995 4795365 68.88021951 1.119301481
"Peru" "Latin America & Caribbean" 1995 23827163 67.98478049 1.008185044
"Philippines" "East Asia & Pacific" 1995 69255386 66.01853659 0.3691565447
"Poland" "Europe & Central Asia" 1995 38594998 71.89268293 1.989525321
"Portugal" "Europe & Central Asia" 1995 10030376 75.31219512 8.738012851
"Qatar" "Middle East & North Africa" 1995 501371 75.28273171 6.012919169
"Romania" "Europe & Central Asia" 1995 22684270 69.45609756 0.5346326946
"Russian Federation" "Europe & Central Asia" 1995 148141000 65.22121951 1.129984123
"Rwanda" "Sub-Saharan Africa" 1995 5570206 30.47317073 0.103458127
"Samoa" "East Asia & Pacific" 1995 168257 67.51502439 0.5592837495
"Sao Tome and Principe" "Sub-Saharan Africa" 1995 127935 61.6612439 0.5891974358
"Saudi Arabia" "Middle East & North Africa" 1995 18491845 70.47268293 2.27993044
"Senegal" "Sub-Saharan Africa" 1995 8369125 54.36307317 0.2293506421
"Sierra Leone" "Sub-Saharan Africa" 1995 3898363 37.20870732 0.3418819945
"Singapore" "East Asia & Pacific" 1995 3524500 76.39512195 3.791411429
"Slovak Republic" "Europe & Central Asia" 1995 5361999 72.25365854 2.214541447
"Slovenia" "Europe & Central Asia" 1995 1989872 73.95853659 7.850682234
"Solomon Islands" "East Asia & Pacific" 1995 356404 59.69595122 0.4731181921
"South Africa" "Sub-Saharan Africa" 1995 39120000 59.88741463 2.709442208
"Spain" "Europe & Central Asia" 1995 39387017 77.98073171 11.27904409
"Sri Lanka" "South Asia" 1995 18136000 69.22885366 0.2450414947
"St. Lucia" "Latin America & Caribbean" 1995 145437 71.43414634 1.810605384
"St. Vincent and the Grenadines" "Latin America & Caribbean" 1995 108087 70.01841463 1.099173002
"Sudan" "Sub-Saharan Africa" 1995 24538815 54.29097561 0.1550589319
"Suriname" "Latin America & Caribbean" 1995 435920 67.80585366 0.8249559126
"Swaziland" "Sub-Saharan Africa" 1995 963591 56.39373171 0.8745248949
"Sweden" "Europe & Central Asia" 1995 8826939 78.7404878 22.88950104
"Switzerland" "Europe & Central Asia" 1995 7040687 78.41707317 42.70824645
"Syrian Arab Republic" "Middle East & North Africa" 1995 14171130 72.83553659 0.5169369976
"Tajikistan" "Europe & Central Asia" 1995 5775404 62.37460976 0.0305721148
"Tanzania" "Sub-Saharan Africa" 1995 29943732 49.5737561 0.06282208132
"Thailand" "East Asia & Pacific" 1995 59650157 72.26117073 0.9947389707
"Togo" "Sub-Saharan Africa" 1995 4085492 54.05009756 0.1729147986
"Tonga" "East Asia & Pacific" 1995 95907 70.11926829 0.8723481575
"Trinidad and Tobago" "Latin America & Caribbean" 1995 1261443 68.99709756 1.981865467
"Tunisia" "Middle East & North Africa" 1995 8957500 71.35365854 1.295635684
"Turkey" "Europe & Central Asia" 1995 58864649 66.07309756 0.9549118806
"Turkmenistan" "Europe & Central Asia" 1995 4188010 63.03073171 0.4302047946
"Uganda" "Sub-Saharan Africa" 1995 20831075 44.86529268 0.1530524819
"Ukraine" "Europe & Central Asia" 1995 51512298.61 67.11707317 0.4906154122
"United Arab Emirates" "Middle East & North Africa" 1995 2348539 73.43485366 7.379431078
"United Kingdom" "Europe & Central Asia" 1995 58019030 76.83658537 13.62195446
"United States" "North America" 1995 266278000 75.62195122 37.47692121
"Uruguay" "Latin America & Caribbean" 1995 3223401 73.47626829 9.341144209
"Uzbekistan" "Europe & Central Asia" 1995 22785000 66.31760976 0.2865832202
"Vanuatu" "East Asia & Pacific" 1995 168263 65.45934146 0.4321763981
"Venezuela, RB" "Latin America & Caribbean" 1995 22043000 72.1695122 1.43865097
"Vietnam" "East Asia & Pacific" 1995 71995500 69.43168293 0.1453484289
"Yemen, Rep." "Middle East & North Africa" 1995 15148172 57.37890244 0.3947933316
"Zambia" "Sub-Saharan Africa" 1995 8919456 43.51526829 0.2183678219
"Albania" "Europe & Central Asia" 1996 3112597 72.24107317 0.4304585912
"Algeria" "Middle East & North Africa" 1996 28786855 68.7344878 0.617699582
"Angola" "Sub-Saharan Africa" 1996 12452725 42.50160976 0.1853179493
"Argentina" "Latin America & Caribbean" 1996 35287113 72.84629268 6.191318441
"Armenia" "Europe & Central Asia" 1996 3172185 69.02943902 0.2926083051
"Australia" "East Asia & Pacific" 1996 18311000 78.07804878 17.60462837
"Austria" "Europe & Central Asia" 1996 7959017 76.98365854 28.11081798
"Azerbaijan" "Europe & Central Asia" 1996 7763000 64.994 0.2480044296
"Bahamas, The" "Latin America & Caribbean" 1996 283677 70.34804878 8.798801445
"Bahrain" "Middle East & North Africa" 1996 574914 73.2802439 4.858072241
"Bangladesh" "South Asia" 1996 119928682 62.66212195 0.1149715689
"Barbados" "Latin America & Caribbean" 1996 264237 75.04263415 4.649801692
"Belarus" "Europe & Central Asia" 1996 10160000 68.61219512 0.8826239934
"Belgium" "Europe & Central Asia" 1996 10156637 77.18731707 21.48286059
"Belize" "Latin America & Caribbean" 1996 222000 73.22114634 1.038966353
"Benin" "Sub-Saharan Africa" 1996 5821985 51.3245122 0.1860061854
"Bhutan" "South Asia" 1996 520529 57.62943902 0.3746879672
"Bolivia" "Latin America & Caribbean" 1996 7637622 61.48729268 0.4482368206
"Bosnia and Herzegovina" "Europe & Central Asia" 1996 3305672 69.71419512 0.9397065382
"Botswana" "Sub-Saharan Africa" 1996 1623704 57.47765854 1.249455052
"Brazil" "Latin America & Caribbean" 1996 164342524 68.73156098 3.49931989
"Brunei Darussalam" "East Asia & Pacific" 1996 297188 75.22392683 6.377559702
"Bulgaria" "Europe & Central Asia" 1996 8362826 70.89731707 0.5527925164
"Burkina Faso" "Sub-Saharan Africa" 1996 10992170 49.15943902 0.1186230176
"Burundi" "Sub-Saharan Africa" 1996 6140258 44.75841463 0.08055769405
"Cambodia" "East Asia & Pacific" 1996 11458858 56.25726829 0.2906056863
"Cameroon" "Sub-Saharan Africa" 1996 14287475 51.59990244 0.3447433331
"Canada" "North America" 1996 29671900 78.2304878 18.28837371
"Cape Verde" "Sub-Saharan Africa" 1996 404166 67.60319512 0.6025957229
"Central African Republic" "Sub-Saharan Africa" 1996 3406451 45.48017073 0.1183849103
"Chad" "Sub-Saharan Africa" 1996 7219081 49.58585366 0.1222629272
"Chile" "Latin America & Caribbean" 1996 14630769 75.33963415 3.730966799
"China" "East Asia & Pacific" 1996 1217550000 70.59902439 0.2643395356
"Colombia" "Latin America & Caribbean" 1996 37112621 69.75760976 2.136164725
"Comoros" "Sub-Saharan Africa" 1996 507062 56.94214634 0.2060519301
"Congo, Dem. Rep." "Sub-Saharan Africa" 1996 45295039 45.59668293 0.04249300939
"Congo, Rep." "Sub-Saharan Africa" 1996 2810118 54.42146341 0.2588431619
"Costa Rica" "Latin America & Caribbean" 1996 3557095 77.02165854 2.21457935
"Cote d'Ivoire" "Sub-Saharan Africa" 1996 15089912 50.74712195 0.4470398662
"Croatia" "Europe & Central Asia" 1996 4494000 72.36536585 3.691260043
"Cuba" "Latin America & Caribbean" 1996 10949206 75.4572439 1.19355224
"Cyprus" "Europe & Central Asia" 1996 873277 77.4057561 7.549958554
"Czech Republic" "Europe & Central Asia" 1996 10315241 73.71463415 4.033384441
"Denmark" "Europe & Central Asia" 1996 5263074 75.59146341 28.78187882
"Djibouti" "Middle East & North Africa" 1996 644434 52.86539024 0.3067193109
"Dominican Republic" "Latin America & Caribbean" 1996 8054768 69.85960976 1.124990954
"Ecuador" "Latin America & Caribbean" 1996 11584074 71.70946341 0.8084272201
"Egypt, Arab Rep." "Middle East & North Africa" 1996 63120498 66.33558537 0.4561968968
"El Salvador" "Latin America & Caribbean" 1996 5791403 69.11129268 1.34993196
"Equatorial Guinea" "Sub-Saharan Africa" 1996 457321 48.4 0.2650892425
"Eritrea" "Sub-Saharan Africa" 1996 3263016 53.227 0.07760802627
"Estonia" "Europe & Central Asia" 1996 1415594 69.61219512 2.180862889
"Ethiopia" "Sub-Saharan Africa" 1996 58774378 49.77526829 0.04222360416
"Fiji" "East Asia & Pacific" 1996 784713 66.8402439 0.8728135888
"Finland" "Europe & Central Asia" 1996 5124573 76.69341463 20.11353485
"France" "Europe & Central Asia" 1996 59798609 77.95365854 27.38562538
"Gabon" "Sub-Saharan Africa" 1996 1118215 60.87943902 1.502005121
"Gambia, The" "Sub-Saharan Africa" 1996 1158308 53.95963415 0.2465505556
"Germany" "Europe & Central Asia" 1996 81914831 76.67317073 31.00753783
"Ghana" "Sub-Saharan Africa" 1996 17429209 57.9684878 0.2044699322
"Greece" "Europe & Central Asia" 1996 10709173 77.68536585 11.12598367
"Grenada" "Latin America & Caribbean" 1996 100707 72.05968293 2.034322866
"Guatemala" "Latin America & Caribbean" 1996 10246429 65.54380488 0.5567396767
"Guinea" "Sub-Saharan Africa" 1996 7805735 46.04882927 0.2778160698
"Guinea-Bissau" "Sub-Saharan Africa" 1996 1147908 43.8855122 0.202808109
"Guyana" "Latin America & Caribbean" 1996 728990 62.64787805 0.4786845951
"Haiti" "Latin America & Caribbean" 1996 8031903 57.46107317 0.2384424143
"Honduras" "Latin America & Caribbean" 1996 5706605 69.05453659 0.3548307283
"Hungary" "Europe & Central Asia" 1996 10311238 70.32878049 3.153165681
"Iceland" "Europe & Central Asia" 1996 268916 78.77780488 22.74576366
"India" "South Asia" 1996 982553253 60.17860976 0.1585800609
"Indonesia" "East Asia & Pacific" 1996 202257039 64.32780488 0.2245919155
"Iran, Islamic Rep." "Middle East & North Africa" 1996 60815686 68.60319512 0.8620833046
"Ireland" "Europe & Central Asia" 1996 3637510 75.78536585 13.28207138
"Israel" "Middle East & North Africa" 1996 5692000 78.10487805 14.21778459
"Italy" "Europe & Central Asia" 1996 56860281 78.33195122 16.3446979
"Jamaica" "Latin America & Caribbean" 1996 2509923.425 70.25526829 1.230235648
"Jordan" "Middle East & North Africa" 1996 4325045 71.56109756 1.322225268
"Kazakhstan" "Europe & Central Asia" 1996 15577894.26 64.1097561 0.5814490015
"Kenya" "Sub-Saharan Africa" 1996 28191597 55.23631707 0.1772541265
"Korea, Rep." "East Asia & Pacific" 1996 45525000 73.82109756 4.935892529
"Kuwait" "Middle East & North Africa" 1996 1628120 73.39565854 6.702866372
"Kyrgyz Republic" "Europe & Central Asia" 1996 4628400 66.54390244 0.24751517
"Lao PDR" "East Asia & Pacific" 1996 4907960 58.89558537 0.1757613179
"Latvia" "Europe & Central Asia" 1996 2457222 68.77658537 1.407090756
"Lebanon" "Middle East & North Africa" 1996 3539137 70.0154878 4.144023495
"Lesotho" "Sub-Saharan Africa" 1996 1829222 55.25160976 0.3441202173
"Liberia" "Sub-Saharan Africa" 1996 2203809 42.62707317 0
"Libya" "Middle East & North Africa" 1996 4862665 71.13378049 1.902346902
"Lithuania" "Europe & Central Asia" 1996 3601613 70.10804878 1.306363838
"Luxembourg" "Europe & Central Asia" 1996 414225 76.5195122 28.10233395
"Macedonia, FYR" "Europe & Central Asia" 1996 1973283 72.25019512 2.022720334
"Madagascar" "Sub-Saharan Africa" 1996 13547271 55.80307317 0.09302407353
"Malawi" "Sub-Saharan Africa" 1996 10070605 46.41214634 0.1045025529
"Malaysia" "East Asia & Pacific" 1996 21247102 71.3685122 1.367372325
"Maldives" "South Asia" 1996 253960 66.25185366 1.120258252
"Mali" "Sub-Saharan Africa" 1996 10092753 46.01304878 0.2158289635
"Mauritania" "Sub-Saharan Africa" 1996 2357678 56.73146341 0.2330843362
"Mauritius" "Sub-Saharan Africa" 1996 1133996 70.32292683 1.354311103
"Mexico" "Latin America & Caribbean" 1996 93858373 73.09429268 1.841060703
"Micronesia, Fed. Sts." "East Asia & Pacific" 1996 107904 66.86770732 1.745158354
"Moldova" "Europe & Central Asia" 1996 3667748 66.61812195 0.4014913409
"Mongolia" "East Asia & Pacific" 1996 2325369 61.49907317 0.2053055637
"Montenegro" "Europe & Central Asia" 1996 644121 75.68431707 0.9848825995
"Morocco" "Middle East & North Africa" 1996 27323664 67.04836585 0.515572843
"Mozambique" "Sub-Saharan Africa" 1996 16412893 45.91082927 0.08458423576
"Myanmar" "East Asia & Pacific" 1996 42735941 60.52641463 0.02530114667
"Namibia" "Sub-Saharan Africa" 1996 1700975 59.95790244 1.347092741
"Nepal" "South Asia" 1996 22137784 58.2735122 0.107466985
"Netherlands" "Europe & Central Asia" 1996 15530498 77.43560976 22.10615552
"New Zealand" "East Asia & Pacific" 1996 3732000 76.78780488 12.77928324
"Nicaragua" "Latin America & Caribbean" 1996 4733164 67.78190244 0.5833204443
"Niger" "Sub-Saharan Africa" 1996 9499892 45.22534146 0.06759058726
"Nigeria" "Sub-Saharan Africa" 1996 112618306 45.13321951 0.5292157555
"Norway" "Europe & Central Asia" 1996 4381336 78.1504878 31.80385132
"Oman" "Middle East & North Africa" 1996 2258730 73.29053659 2.378275928
"Pakistan" "South Asia" 1996 130737306 62.282 0.150987552
"Panama" "Latin America & Caribbean" 1996 2731717 73.46585366 2.4512047
"Papua New Guinea" "East Asia & Pacific" 1996 4840693 57.63085366 0.3885140858
"Paraguay" "Latin America & Caribbean" 1996 4905150 69.07980488 1.212468697
"Peru" "Latin America & Caribbean" 1996 24248671 68.49209756 1.037652118
"Philippines" "East Asia & Pacific" 1996 70831419 66.18063415 0.4142704153
"Poland" "Europe & Central Asia" 1996 38624370 72.24634146 2.404704645
"Portugal" "Europe & Central Asia" 1996 10057861 75.26097561 9.389258094
"Qatar" "Middle East & North Africa" 1996 512422 75.49580488 6.40648455
"Romania" "Europe & Central Asia" 1996 22619004 69.10487805 0.5287103678
"Russian Federation" "Europe & Central Asia" 1996 147739000 66.19414634 1.466043859
"Rwanda" "Sub-Saharan Africa" 1996 5803830 33.97580488 0.1099523552
"Samoa" "East Asia & Pacific" 1996 169969 67.95426829 0.6931246841
"Sao Tome and Principe" "Sub-Saharan Africa" 1996 130499 61.80363415 0.6978489687
"Saudi Arabia" "Middle East & North Africa" 1996 18786467 70.69560976 2.483618144
"Senegal" "Sub-Saharan Africa" 1996 8591861 54.60453659 0.2408110977
"Sierra Leone" "Sub-Saharan Africa" 1996 3898177 37.41887805 0.3700160833
"Singapore" "East Asia & Pacific" 1996 3670700 76.74634146 7.697657191
"Slovak Republic" "Europe & Central Asia" 1996 5373361 72.65365854 2.534417282
"Slovenia" "Europe & Central Asia" 1996 1988628 74.45853659 8.118607602
"Solomon Islands" "East Asia & Pacific" 1996 366363 60.29658537 0.4657937916
"South Africa" "Sub-Saharan Africa" 1996 40000246.95 59.06270732 2.711459139
"Spain" "Europe & Central Asia" 1996 39478186 78.1204878 11.76675537
"Sri Lanka" "South Asia" 1996 18336000 69.1782439 0.2613269018
"St. Lucia" "Latin America & Caribbean" 1996 147062 71.54878049 2.086694843
"St. Vincent and the Grenadines" "Latin America & Caribbean" 1996 108049 70.10019512 1.158503481
"Sudan" "Sub-Saharan Africa" 1996 25160191 54.71034146 0.1147487823
"Suriname" "Latin America & Caribbean" 1996 441896 67.83597561 1.44347836
"Swaziland" "Sub-Saharan Africa" 1996 984632 55.008 0.8795654767
"Sweden" "Europe & Central Asia" 1996 8840998 78.95902439 25.64233203
"Switzerland" "Europe & Central Asia" 1996 7071850 78.89609756 42.66357113
"Syrian Arab Republic" "Middle East & North Africa" 1996 14518843 73.11295122 0.5948382827
"Tajikistan" "Europe & Central Asia" 1996 5860334 62.56131707 0.0552973549
"Tanzania" "Sub-Saharan Africa" 1996 30783155 49.56763415 0.07227818606
"Thailand" "East Asia & Pacific" 1996 60258113 72.25392683 1.159729658
"Togo" "Sub-Saharan Africa" 1996 4208738 54.21117073 0.1821428139
"Tonga" "East Asia & Pacific" 1996 96196 70.2385122 0.9620535153
"Trinidad and Tobago" "Latin America & Caribbean" 1996 1268851 68.91290244 1.965735109
"Tunisia" "Middle East & North Africa" 1996 9089300 71.55365854 1.284128387
"Turkey" "Europe & Central Asia" 1996 59821978 66.74597561 1.166936064
"Turkmenistan" "Europe & Central Asia" 1996 4267690 63.2077561 0.18099747
"Uganda" "Sub-Saharan Africa" 1996 21473592 44.7917561 0.1490511467
"Ukraine" "Europe & Central Asia" 1996 51057188.98 67.31073171 0.5381212448
"United Arab Emirates" "Middle East & North Africa" 1996 2473983 73.68009756 7.312627993
"United Kingdom" "Europe & Central Asia" 1996 58166950 77.08780488 14.35140089
"United States" "North America" 1996 269394000 75.99658537 38.99976933
"Uruguay" "Latin America & Caribbean" 1996 3235549 73.52804878 8.218951744
"Uzbekistan" "Europe & Central Asia" 1996 23225000 66.43263415 0.4074676417
"Vanuatu" "East Asia & Pacific" 1996 171783 65.8994878 0.3892579119
"Venezuela, RB" "Latin America & Caribbean" 1996 22502000 72.3795122 1.059768924
"Vietnam" "East Asia & Pacific" 1996 73156700 69.98985366 0.1658291879
"Yemen, Rep." "Middle East & North Africa" 1996 15710211 57.72378049 0.250885402
"Zambia" "Sub-Saharan Africa" 1996 9161931 43.0084878 0.2101976226
"Albania" "Europe & Central Asia" 1997 3091902 72.69607317 0.3613520839
"Algeria" "Middle East & North Africa" 1997 29242917 69.02565854 0.6689333634
"Angola" "Sub-Saharan Africa" 1997 12792237 43.06163415 0.284047932
"Argentina" "Latin America & Caribbean" 1997 35714929 73.06739024 6.859666339
"Armenia" "Europe & Central Asia" 1997 3134836 69.49163415 0.3028430879
"Australia" "East Asia & Pacific" 1997 18517000 78.4804878 17.61073558
"Austria" "Europe & Central Asia" 1997 7968041 77.38756098 25.59309244
"Azerbaijan" "Europe & Central Asia" 1997 7838250 65.46239024 0.2729444862
"Bahamas, The" "Latin America & Caribbean" 1997 287217 70.66270732 9.586658311
"Bahrain" "Middle East & North Africa" 1997 592986 73.41346341 5.041904908
"Bangladesh" "South Asia" 1997 122370403 63.19656098 0.09267028798
"Barbados" "Latin America & Caribbean" 1997 265088 75.12739024 4.938718695
"Belarus" "Europe & Central Asia" 1997 10117000 68.46097561 0.9107781094
"Belgium" "Europe & Central Asia" 1997 10181245 77.37073171 19.05237829
"Belize" "Latin America & Caribbean" 1997 230000 73.30070732 1.113801848
"Benin" "Sub-Saharan Africa" 1997 5988093 51.67407317 0.1633317897
"Bhutan" "South Asia" 1997 528222 58.56214634 0.496307364
"Bolivia" "Latin America & Caribbean" 1997 7804333 61.86573171 0.4490497412
"Bosnia and Herzegovina" "Europe & Central Asia" 1997 3365616 71.34795122 0.8886015434
"Botswana" "Sub-Saharan Africa" 1997 1660538 55.65153659 1.375418759
"Brazil" "Latin America & Caribbean" 1997 166869168 69.10909756 3.554743668
